Sample Name,Signature 1,Signature 2,Signature 3,Signature 5,Signature 6,Signature 8,Signature 13,Signature 17,Signature 18,Signature 20,Signature 26,Signature 30
PD10010,544,102,530,820,0,273,161,0,0,0,0,0
PD10011,814,0,1482,3734,0,905,434,903,0,0,0,0
PD10014,399,0,3467,3410,0,4324,525,0,0,0,0,0
PD11326,389,250,3446,1547,0,3105,891,0,0,0,0,0
PD11327,265,0,5400,938,0,5244,868,0,0,0,0,0
PD11336,1335,633,1542,1158,0,0,0,422,495,0,0,0
PD11337,747,265,0,768,0,792,299,0,202,0,0,0
PD11338,754,60,0,1144,0,342,0,0,0,0,0,0
PD11339,1114,68,0,1277,0,0,70,0,0,0,0,0
PD11340,979,520,0,2211,0,694,267,0,393,0,0,0
PD11341,518,266,0,385,0,391,92,0,0,0,0,0
PD11342,701,853,0,1422,0,0,329,0,0,0,0,0
PD11343,793,157,0,1094,0,757,143,0,0,0,0,0
PD11344,452,4740,0,0,0,0,5836,0,0,0,0,0
PD11345,794,4121,0,1522,0,996,2258,0,660,0,0,0
PD11346,610,474,0,957,0,0,251,0,0,0,0,0
PD11347,517,386,0,994,0,0,134,0,0,0,0,0
PD11348,1744,176,0,1487,0,997,172,0,434,0,0,0
PD11349,1069,1106,0,2741,0,1594,939,0,0,0,0,0
PD11352,835,473,0,1278,0,0,0,0,0,0,0,0
PD11355,430,66,0,679,0,382,0,0,281,0,0,0
PD11357,1256,94,0,1530,0,499,0,0,0,0,0,0
PD11358,929,1630,0,1768,0,0,0,0,0,0,0,0
PD11359,797,158,0,1155,0,474,82,0,0,0,0,0
PD11360,1055,146,0,1284,0,631,0,0,0,0,0,0
PD11361,766,113,0,467,0,377,0,0,0,0,0,0
PD11364,738,85,0,1012,0,384,120,0,0,0,0,0
PD11365,0,0,0,1131,0,0,0,0,0,0,12521,0
PD11366,823,228,0,1763,0,0,0,0,191,0,0,0
PD11367,1136,167,2518,2135,0,1972,236,0,0,0,0,0
PD11368,1416,1798,0,1740,0,1395,479,0,0,0,0,0
PD11369,1868,887,0,1651,0,1182,546,0,0,0,0,0
PD11370,302,0,0,828,0,122,27,0,0,0,0,0
